quote|author|game
Did I ever tell you the definition of insanity?|Vaas Montenegro|Far Cry 3
It's time to kick a** and chew bubblegum and I'm all outta gum|Duke Nukem|Duke Nukem video game series
Hey, you, you're finally awake.|Ralof|The Elder Scrolls V: Skyrim
No cost too great|The Pale King|Hollow Knight
Hey! Listen!|Navi|The Legend of Zelda: Ocarina of Time
Remember, No Russian|Vladimir Makarov|Call of Duty: Modern Warfare 2
Heed my words. I am Malenia. Blade of Miquella. And I have never known defeat.|Malenia, Blade of Miquella|Elden Ring
All we had to do was follow the damn train, CJ!|Big Smoke|GTA San Andreas
Even after everything you've done, I would have saved you|Batman|Batman: Arkham City
Yo. Kiryu-chan!|Goro Majima|Yakuza 0
